trimmed_seq_name	complete_seq_name
A/Kenya/GIHSN-HCL022160174501/2021	A/Kenya/GIHSN-HCL022160174501/2021|EPI_ISL_16201058|2021-08-31
A/Kenya/110/2022	A/Kenya/110/2022|EPI_ISL_10828384|2021-12-03
A/Salalah/72124837/2021	A/Salalah/72124837/2021|EPI_ISL_9401983|2021-09-05
A/Oman/2641/2021	A/Oman/2641/2021|EPI_ISL_5983954|2021-07-25
A/Yokohama/68/2020	A/Yokohama/168/2019|EPI_ISL_411135|2019-09-21
A/Perth/20/2020	A/Perth/20/2020|EPI_ISL_458288|2020-01-29
A/Philippines/1/2021	A/Philippines/1/2021|EPI_ISL_3836431|2021-05-14
A/Philippines/8/2021	A/Philippines/8/2021|EPI_ISL_3950047|2021-07-13
A/NewYork/21/2020	A/New_York/21/2020|EPI_ISL_424836|2020-02-05
A/Ethiopia/4040/2021	A/Ethiopia/4040/2021|EPI_ISL_9388994|2021-09-07
A/Ethiopia/4011/2021	A/Ethiopia/4011/2021|EPI_ISL_9388941|2021-09-02
A/Ethiopia/4014/2021	A/Ethiopia/4014/2021|EPI_ISL_9388924|2021-09-02
A/Ethiopia/4055/2021	A/Ethiopia/4055/2021|EPI_ISL_9388967|2021-09-29
A/Ethiopia/1055/2021	A/Ethiopia/1055/2021|EPI_ISL_9388981|2021-11-25
A/Ethiopia/3985/2021	A/Ethiopia/3985/2021|EPI_ISL_10827397|2021-08-13
A/Ethiopia/1014/2021	A/Ethiopia/1014/2021|EPI_ISL_9388922|2021-08-24
A/Ethiopia/4023/2021	A/Ethiopia/4023/2021|EPI_ISL_9388957|2021-09-02
A/Ethiopia/2573/2021	A/Ethiopia/2573/2021|EPI_ISL_9346201|2021-11-17
A/Ethiopia/4004/2021	A/Ethiopia/4004/2021|EPI_ISL_9388929|2021-08-26
A/Ethiopia/3994/2021	A/Ethiopia/3994/2021|EPI_ISL_9388953|2021-08-11
A/Ethiopia/1048/2021	A/Ethiopia/1048/2021|EPI_ISL_9388969|2021-04-26
A/Ethiopia/2493/2021	A/Ethiopia/2493/2021|EPI_ISL_9388923|2021-07-08
