name,date
OK054392.1,2016-07-27
OK054418.1,2016-07-22
MF801406.1,2016-07-07
MF801378.1,2016-07-21
OK054481.1,2016-08-29
OK054382.1,2016-08-15
MF801403.1,2016-05-25
KU501217.1,2015-11-01
KU501216.1,2015-12-01
MG494697.1,2016-11-24
MF801411.1,2016-07-05
MF801399.1,2016-05-20
MF801400.1,2016-05-20
KY606273.1,2016-06-30
MF801423.1,2016-06-30
MF801407.1,2016-07-05
MF801419.1,2016-07-01
MF801412.1,2016-07-07
MF801391.1,2016-07-06
MH157209.1,2016-07-05
MH157197.1,2016-07-13
MF801415.1,2016-07-05
MF801422.1,2016-07-01
KY631493.1,2015-10-15
KY631494.1,2015-10-15
KX827268.1,2016-01-01
KX766029.1,2016-06-23
MG595216.1,2016-06-23
KY606272.1,2016-08-05
MF801413.1,2016-07-07
MF801416.1,2016-07-31
KY120349.2,2016-03-03
KX446950.2,2016-01-01
KX247632.1,2015-11-30
KX446951.2,2016-01-01
MF801393.1,2016-04-22
MH157212.1,2016-08-19
MF801398.1,2016-05-20
MH157206.1,2016-09-23
MF098771.1,2017-01-30
MF801395.1,2016-05-09
MF801420.1,2016-07-04
MF098770.1,2016-11-09
MH157195.1,2016-08-24
MH157208.1,2016-08-22
MH157207.1,2016-08-29
MF801414.1,2016-07-05
MF801417.1,2016-07-01
MF801401.1,2016-05-23
MH157203.1,2016-06-27
MH157214.1,2016-06-24
MH157201.1,2016-06-28
MH157213.1,2016-06-23
MH157204.1,2016-10-25
MH157200.1,2016-10-21
MH157205.1,2016-08-15
MH157199.1,2016-08-08
MH157202.1,2016-08-10
OK054400.1,2016-08-05
OK054453.1,2016-07-27
OK054413.1,2016-07-31
OK054436.1,2016-07-14
OK054426.1,2016-09-30
MK269353.1,2016-08-28
OK054445.1,2016-07-18
OK054410.1,2016-07-28
OK054430.1,2016-07-26
OK054442.1,2016-08-14
OK054463.1,2016-08-14
OK054464.1,2016-08-15
OK054386.1,2016-08-05
OK054475.1,2016-09-12
MF801418.1,2016-06-30
MF801402.1,2016-05-26
MF801396.1,2016-05-17
MF801404.1,2016-07-08
KY606271.1,2016-03-05
MH157210.1,2016-08-25
MH157196.1,2016-08-29
KU870645.1,2016-02-02
KY606274.1,2016-07-07
OK054405.1,2016-02-26
KY765320.1,2016-05-29
KX421194.1,2016-01-13
KX421195.1,2016-01-19
OK054438.1,2016-01-13
OK054455.1,2016-07-23
OK054461.1,2016-02-01
OK054460.1,2016-08-14
OK054390.1,2016-07-15
OK054422.1,2016-08-09
OK054421.1,2016-07-30
OK054420.1,2016-08-19
MF801387.1,2016-03-29
OK054459.1,2016-07-12
MF801389.1,2016-05-10
OK054406.1,2016-07-28
OK054394.1,2016-08-15
OK054456.1,2016-09-18
OK054409.1,2016-08-09
OK054402.1,2016-07-12
MF434516.1,2016-08-05
OK054411.1,2016-08-29
MF434522.1,2016-08-29
OK054427.1,2016-07-28
KY785448.1,2016-06-10
KY785458.1,2016-06-10
KY785414.1,2016-05-28
KY693676.1,2016-08-26
MF434519.1,2016-07-22
OK054457.1,2016-07-24
OK054369.1,2016-08-24
MF434517.1,2016-08-19
OK054449.1,2016-08-07
OK054383.1,2016-09-27
OK054432.1,2016-08-26
OK054468.1,2016-07-27
OK054391.1,2016-07-25
OK054415.1,2016-08-02
MK713750.1,2016-05-26
MF801383.1,2016-06-03
MF801426.1,2016-07-25
KY325479.1,2016-09-28
KY325465.1,2016-09-28
MF801408.1,2016-07-05
MF801384.1,2016-02-03
MF801386.1,2016-02-24
MF801380.1,2016-04-11
MH063265.1,2017-07-17
MF159531.1,2017-04-19
MF988734.1,2017-08-16
MH063262.1,2017-07-17
MK560178.1,2017-10-09
MH063263.1,2017-08-05
MH063259.1,2017-07-26
KY785454.1,2016-08-05
MN577550.1,2016-01-19
MF801397.1,2016-05-20
MW122381.1,2016-10-17
OK054458.1,2016-08-06
MF593625.1,2016-09-14
OK054389.1,2016-07-29
OK054482.1,2016-07-27
KY765326.1,2016-06-30
MW122434.1,2016-07-19
OK054472.1,2016-08-19
OK054408.1,2016-08-20
OK054393.1,2016-07-15
OK054434.1,2016-08-12
KY785431.1,2016-06-13
MH157211.1,2016-07-29
MF801410.1,2016-07-05
KY785418.1,2016-05-13
KY014315.2,2016-06-06
KY693677.1,2016-08-26
KY765327.1,2016-04-22
OK054470.1,2016-04-22
MF434520.1,2016-02-07
KY014311.1,2016-05-12
KY014306.2,2016-06-10
KY014327.2,2016-06-09
OK054448.1,2016-07-26
OK054387.1,2016-10-11
OK054431.1,2016-08-04
OK054462.1,2016-07-27
OK054416.1,2016-07-25
OK054433.1,2016-07-29
OK054437.1,2016-08-05
OK054417.1,2016-09-08
MW122423.1,2016-10-06
MF801385.1,2016-02-12
KY328289.1,2016-05-15
KY785452.1,2016-06-07
KY014312.2,2016-05-13
MW122401.1,2016-09-15
MW122409.1,2016-10-20
MW122427.1,2016-08-23
MW122452.1,2017-01-19
MW122390.1,2016-10-11
MW122455.1,2017-01-19
MW122388.1,2016-10-31
MW122415.1,2017-01-20
MW122396.1,2016-08-11
MW122453.1,2016-07-27
MW122413.1,2016-12-11
MW122450.1,2017-01-10
KY014310.2,2016-05-09
KY014319.2,2016-04-30
KY785442.1,2016-06-04
KY785416.1,2016-04-28
MH675629.1,2016-08-31
MH675630.1,2016-09-01
MF434521.1,2016-07-19
OK054440.1,2016-07-13
OK054370.1,2016-10-03
OK054478.1,2016-08-21
OK054479.1,2016-08-08
OK054474.1,2016-09-02
OK054404.1,2016-08-01
OK054473.1,2016-07-04
OK054443.1,2016-08-15
OK054403.1,2016-09-29
OK054444.1,2016-02-07
OK054480.1,2016-08-23
OK054424.1,2016-07-25
OK054465.1,2016-07-12
OK054429.1,2016-08-02
KY765317.1,2016-06-29
OK054425.1,2016-09-07
OK054487.1,2016-07-23
KY765321.1,2016-07-10
OK054469.1,2016-07-10
OK054466.1,2016-07-13
OK054399.1,2016-07-13
OK054446.1,2016-08-19
,2016-07-25
